"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0006811",0.000155229559159986,2.96167580345018,6.88141391106043,18,355,"ion transport"
"2","GO:0006897",0.00273276786541279,12.9097744360902,0.290763968072976,3,15,"endocytosis"
"3","GO:0031399",0.00785070489341682,5.6044226044226,0.794754846066135,4,41,"regulation of protein modification process"
"4","GO:0006979",0.0085491451096052,5.45614035087719,0.814139110604333,4,42,"response to oxidative stress"
"5","GO:0006091",0.00938923380689293,4.19724205860625,1.29874572405929,5,67,"generation of precursor metabolites and energy"
"6","GO:0006470",0.0145885210164379,4.6026936026936,0.949828962371722,4,49,"protein dephosphorylation"
"7","GO:0016311",0.0145885210164379,4.6026936026936,0.949828962371722,4,49,"dephosphorylation"
"8","GO:0006793",0.0192584964443143,2.09337860780985,6.1254275940707,12,316,"phosphorus metabolic process"
"9","GO:0006796",0.0192584964443143,2.09337860780985,6.1254275940707,12,316,"phosphate-containing compound metabolic process"
"10","GO:0032268",0.0228085338079404,3.97902097902098,1.08551881413911,4,56,"regulation of cellular protein metabolic process"
"11","GO:0051246",0.0228085338079404,3.97902097902098,1.08551881413911,4,56,"regulation of protein metabolic process"
"12","GO:0009311",0.0291445333311814,8.54228855721393,0.271379703534778,2,14,"oligosaccharide metabolic process"
"13","GO:0019222",0.0317201061020897,3.56426332288401,1.2018244013683,4,62,"regulation of metabolic process"
"14","GO:0031323",0.0317201061020897,3.56426332288401,1.2018244013683,4,62,"regulation of cellular metabolic process"
"15","GO:0060255",0.0317201061020897,3.56426332288401,1.2018244013683,4,62,"regulation of macromolecule metabolic process"
"16","GO:0080090",0.0317201061020897,3.56426332288401,1.2018244013683,4,62,"regulation of primary metabolic process"
"17","GO:0051726",0.0392036501050242,4.28822055137845,0.755986316989738,3,39,"regulation of cell cycle"
