tracking_id	FUNCTION	Sample_10.1_0	Sample_10.2_0	Sample_20.1_0	Sample_20.2_0	Sample_0.1_0	Sample_0.2_0
HWER_00001	Similar to CAT2: Carnitine O-acetyltransferase%2C mitochondrial (Candida tropicalis)	25.5557	22.7835	18.0061	17.3795	1.84031	3.49747
HWER_00002	Similar to MDH1: Malate dehydrogenase%2C mitochondrial (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	673.667	568.307	779.782	697.303	361.886	505.565
HWER_00003	Similar to exo70: Exocyst complex protein exo70 (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))	8.32962	9.83346	9.84203	8.98416	3.20648	5.01757
HWER_00004	Similar to PLA2G4F: Cytosolic phospholipase A2 zeta (Homo sapiens)	12.9819	15.4023	13.7925	11.3913	3.14727	6.52198
HWER_00005	Similar to SPBC947.06c: Uncharacterized MFS-type transporter C947.06c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	5.67018	5.8209	3.61991	4.00122	14.0357	18.0541
HWER_00006	Similar to SRP68: Signal recognition particle subunit SRP68 (Canis familiaris)	35.407	34.8893	37.0647	37.2162	15.9636	26.6329
HWER_00007	Similar to met8: Siroheme biosynthesis protein met8 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	27.871	24.4175	19.4533	19.1266	39.8323	33.3501
HWER_00008	Similar to PEP7: Vacuolar segregation protein PEP7 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	19.7003	18.6504	13.3595	12.678	15.7801	12.4005
HWER_00009	Similar to SPCC663.06c: Uncharacterized oxidoreductase C663.06c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	0	0	0	0	0	0
HWER_00010	Similar to nit-4: Nitrogen assimilation transcription factor nit-4 (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))	3.97613	3.94323	3.37768	2.64336	2.24779	2.42149
HWER_00011	Similar to qa-y: Quinate permease (Neurospora africana)	3.80883	4.04298	3.0284	2.82046	7.56008	7.45381
HWER_00012	Similar to 2-pyrone-4%2C6-dicarbaxylate hydrolase (Comamonas testosteroni)	0.121233	0.126253	0.292876	0.353502	2.14833	0.267374
HWER_00013	Similar to JEN1: Carboxylic acid transporter protein homolog (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	0.265984	0.409682	3.29078	4.93436	9.11392	16.4633
HWER_00014	Similar to SPAC3H1.06c: Uncharacterized transporter C3H1.06c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	19.5194	17.1392	12.4846	11.9819	9.16127	7.98461
HWER_00015	Similar to SPAC1002.16c: Uncharacterized transporter C1002.16c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	5.00854	4.17585	3.35216	3.25756	4.4531	3.52461
HWER_00016	Similar to EMG1: Ribosomal RNA small subunit methyltransferase NEP1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	60.319	52.2714	54.2687	53.565	50.9745	79.3718
HWER_00017	Similar to MIMI_R656: Uncharacterized protein R656 (Acanthamoeba polyphaga mimivirus)	0.815882	0.894706	0.812237	0.873804	1.82388	2.18821
HWER_00018	Protein of unknown function	0.864634	0.749416	2.43114	2.35708	1.07979	0.938973
HWER_00019	Similar to COG5: Conserved oligomeric Golgi complex subunit 5 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	8.98327	9.51991	9.91702	8.48744	4.84774	3.9654
HWER_00020	Protein of unknown function	33.1167	30.6434	24.0597	23.2876	50.8314	40.072
HWER_00021	Protein of unknown function	17.7804	17.8192	12.3776	11.5693	4.77482	5.69356
HWER_00022	Similar to YVC1: Calcium channel YVC1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	13.7175	12.9097	12.8189	11.3266	8.23516	12.1485
HWER_00023	Similar to palB: Calpain-like protease palB/RIM13 (Aspergillus oryzae (strain ATCC 42149 / RIB 40))	6.28002	6.04822	4.09656	4.24605	3.78091	3.03436
HWER_00024	Similar to ANT1: Peroxisomal adenine nucleotide transporter 1 (Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056))	10.6839	11.9455	8.05547	8.51251	24.6537	24.1768
HWER_00025	Protein of unknown function	133.111	140.486	152.801	150.863	375.13	384.258
HWER_00026	Similar to obp1: Oxysterol-binding protein-like protein 1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	83.0447	71.0105	42.1436	42.9604	21.5979	32.0604
HWER_00027	Similar to sol1: SWI/SNF chromatin-remodeling complex subunit sol1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	27.4384	26.5955	24.3029	23.7111	27.2758	28.275
HWER_00028	Similar to Protein disulfide-isomerase (Humicola insolens)	141.525	139.306	173.952	168.521	38.3981	45.9594
HWER_00029	Protein of unknown function	0.763322	0.798286	0.790112	0.827313	1.58556	0.570291
HWER_00030	Similar to TAN1: tRNA acetyltransferase TAN1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	7.96191	6.8042	4.6414	5.4796	21.0209	21.452
HWER_00031	Similar to SPAC1039.06: D-serine dehydratase (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	7.44775	5.93092	3.90378	3.46284	7.44463	11.9729
HWER_00032	Protein of unknown function	3.09579	2.91504	3.93226	3.0056	5.05903	2.4041
HWER_00033	Protein of unknown function	33.8109	30.3208	16.3421	16.8132	93.1758	77.7702
HWER_00034	Similar to pof7: F-box protein pof7 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	17.5704	14.7509	7.48399	8.27043	19.1755	22.0061
HWER_00035	Similar to MTM1: Mitochondrial carrier protein MTM1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	32.784	30.3953	9.52957	11.1654	95.0132	98.143
HWER_00036	Protein of unknown function	0.627228	0.722827	1.43801	1.35755	3.08169	2.80165
HWER_00037	Similar to UBC4: Ubiquitin-conjugating enzyme E2 4 (Candida albicans)	1.53147	0.925125	0.148006	0.544098	0.0586479	0
HWER_00038	Protein of unknown function	11.2957	12.1121	10.4318	9.1445	14.3667	10.6811
